vesselName,imoNumber,flag,vesselType,grossTonnage,mmsiNumber,yearBuilt
ESSHU MARU,9666560,BS,LNG,136740,311000285,2014
HAMBURG CITY,9863170,PA,BULK CARRIER,25189,0,2020
TRADER,9437189,HK,CONTAINER SHIP,15334,477233100,2006
ASIA PEARL VII,9502726,SG,BULK CARRIER,22402,566599000,2008
NAUTICAL RUNA,9699335,LR,BULK CARRIER,36474,636017043,2015
SEDA V,9109512,TR,BULK CARRIER,11176,354841000,1995
POLARIS Z,9109512,KM,BULK CARRIER,11176,620331000,1995
PROMETHEUS LEADER,9338888,SG,RORO CAR CARRIER,41886,565825000,2007
CAPE TRADER,9469962,CY,BULK CARRIER,89510,210615000,2008
PLUTO LEADER,9338890,PA,VEHICLE CARRIER,41886,371185000,2008
HORIZON 9,9732113,SG,FERRY BOAT,428,565263000,2013
ASIA PEARL VIII,9502738,SG,BULK CARRIER,22402,566552000,2008
SANTOS EAGLE,9699347,MH,BULK CARRIER,36474,636017044,2015
U THAR,9109524,MM,BULK CARRIER,11176,305073000,1995
UNITED TAMBORA,9502740,LR,BULK CARRIER,22402,636091724,2009
PACIFIC CREATION,9469974,HK,BULK CARRIER,94710,477749600,2009
HORIZON 8,9732125,SG,FERRY BOAT,428,565518000,2013
COPENHAGEN EAGLE,9699359,MH,BULK CARRIER,36474,636017099,2015
ASIA PEARL I,9502752,SG,BULK CARRIER,22402,565988000,2009
NAUTICAL LUCIA,9699361,LR,BULK CARRIER,36324,636017100,2016
PACIFIC ARGOSY,9469986,HK,BULK CARRIER,94863,477765300,2011
VICTORIUS,9273375,IM,BULK CARRIER,87720,235007480,2004
PHARMONY,9207845,PA,CHEMICAL TANKER,6001,357526000,1999
NEW TRUST,9175078,LR,TANKER,81565,636016323,1999
CLIPPER COPENHAGEN,9404455,MH,BULK CARRIER,24165,209068000,2010
LIZA DESTINY,9175080,BS,TANKER,160561,311000248,1999
HORIZON 7,9732137,SG,FERRY BOAT,428,565925000,2013
CONFIDENCE I,9044009,LR,BULK CARRIER,13696,0,1993
RASHA I,9044009,HN,BULK CARRIER,13696,312265000,1993
CHEMBULK NEW ORLEANS,9273387,MH,TANKER,20033,538006575,2003
AMP CRYSTAL,9633836,HK,GENERAL CARGO,6981,477435800,0
