mmsi,imo
2065960,9511909
2676993,9111462
6945789,9259886
39630000,9343285
101391455,9844409
104405297,9683001
219034008,9589592
219163000,9410973
219863000,9778832
220206000,9260433
220291000,9294379
228343900,9299642
229584000,9625920
240836000,9412098
241069000,9476680
241299000,9628946
241649000,9819844
244457000,9367073
249290000,9421831
249558000,9728928
256300000,9436355
258004000,9447665
310967415,9606950
311584024,9579119
349266709,9233272
352507000,9534640
353293960,9430612
354267000,9397884
354625000,9404651
355297000,9073701
355410000,9414149
355477000,9341330
355528000,9799769
355665000,9835874
355777000,9549360
356407000,9604172
357843000,9176010
358534048,9270440
370785000,9423504
372153000,9369174
372341006,9004580
372493000,9434668
374218000,9727467
374464000,9702089
374507000,9128879
405000240,9793820
414326000,9783368
431305000,9158276
431868000,9293662
440255000,9321134
477006500,9684641
477045100,9778480
477166300,9778129
477178800,9532616
477181600,9689990
477194500,9829772
477230700,9272981
477307700,9722895
477390300,9630406
477441900,9458456
477510800,9746035
477692400,9705134
477903500,9583627
524486960,9534042
525003480,9702443
525013016,9035515
525100433,9786566
525282724,9670195
533170319,9101651
535883392,9648374
538002054,9411965
538005957,9257981
538006157,9735945
538006575,9273387
538006719,9746243
538007251,9756626
538007770,9308247
538008118,9698965
542399110,9128104
562755983,9209001
562985608,9780483
563001216,9514303
563008992,9371983
563015600,9498054
563021916,9529542
563029944,7616262
563036330,9802877
563037440,9808730
563068100,9838230
563169148,9416800
563171445,9176981
563438000,9107966
564400998,9386108
564780000,8814122
565453000,9288590
565864000,9198082
566475236,9569293
566617964,9343338
566975000,9677753
567045700,8503319
567228484,9315678
567902304,9587881
568910272,9827994
572101240,9379430
579820216,9739551
582010216,9750880
588549388,9721401
636010835,9156553
636011902,9286889
636013757,9331062
636013974,9394832
636014128,9382968
636017042,9699323
636017404,9164263
636017831,8919051
636017837,9266267
636019011,9783966
636019200,9740782
636019258,9082350
667380296,9667784
710033240,9547685
5217668,9830484
5250035,9682370
200480552,9676735
215268000,9174270
217153752,9383986
219673000,9745524
229806000,9118329
248916000,9312822
249515000,9728916
255805860,9725512
256968000,9722663
258669000,9378163
273414540,9327322
304577000,9266554
310479000,9262235
311000639,9600932
311000686,9819870
311350940,9386067
311449000,8822595
312565868,9792797
312583000,9102825
312799000,9402847
319103800,9680085
352190000,9321160
353058000,9254276
354363000,9446489
355662000,9552719
356316000,9166869
356987000,9648506
371206000,9803106
372283000,9303223
373068024,9679268
413362000,9127954
414716000,9591698
416220760,9579119
440144000,9300788
440253000,9318515
440332000,9087295
453990596,9555395
457281096,9402823
477006100,9723514
477257700,9657404
477389400,9568902
477454100,9684665
477713100,9715220
477950700,9619579
511978000,9317913
524151736,9397767
525010154,9501069
525023250,9695195
532824568,9400978
538002515,9134971
538004415,9469900
538004995,9641807
538005440,9691345
538005608,9704465
538005846,9732333
538006503,9718791
538006892,9731743
538007000,9169691
538007490,9704831
538007704,9430820
541007376,9276236
542476110,9562788
548735000,9334997
557089120,9689615
562517200,9814181
563006424,9675133
563036624,9658252
563064484,9670195
563065100,9788485
563889000,9713856
563945000,9736066
563971000,9368716
564188232,9352250
564324000,9153068
564422000,9230878
564551528,9525895
565058040,9679268
565282624,9430727
565583248,9445887
565634944,9682112
565880024,9348912
565958920,9427251
566011200,9536519
566541000,9659256
566611000,9651125
566834952,9674543
566951000,9597501
569689276,9525467
570259928,9280639
574250000,9088213
574333000,8982888
636011186,9200952
636014169,9397602
636014989,9445631
636015366,9274305
636015950,9625542
636015977,9251822
636016607,9293739
636017162,9620384
636017726,9755191
636017930,9396725
636018660,9398216
636019186,9403102
636042928,9778480
636091470,9327011
636092839,9330903
764387492,9434694
971242664,9511870
5250045,9251810
106300417,9675121
107354188,9606869
176881618,9456197
235080906,9410806
236251360,9374911
243714974,9640815
254314816,7106059
256173000,9700196
271041862,9470064
310732000,9687019
311344280,8911580
325616000,7106059
352948000,9278155
353892000,9520649
353932000,9437282
354999908,9770763
370273000,9349825
372500016,9382530
372653000,9700445
373215000,9693549
373874000,9512329
374211000,9038701
416428000,9301263
416509000,9629055
416532192,9205093
417222324,9500065
422032300,9346524
432805000,9568809
437191802,9568316
440761000,9375501
441552000,9326768
477031616,9354545
477185400,9428310
477550600,9508861
477552600,9532642
477612200,9445514
485402232,9299329
525003248,9778741
525018432,9707340
525020115,9664859
525109002,9827956
525112003,9302839
533056100,9399363
533059500,9526057
533170153,9548469
535732192,9628180
538003783,9461257
538004316,9524449
538004844,9613290
538005349,9607095
538005891,9218832
538006058,9663116
538006099,9717682
538006442,9765718
538006744,9718428
538007022,9331866
538008016,9242118
538008081,9321122
538008568,9403205
543675116,9465849
562297632,9477555
563010064,9164031
563012728,9205081
563014800,9417127
563031288,9406415
563040352,9550395
563068000,9447768
563171669,9732321
563281000,9275452
563774384,9429338
563890568,9736834
563898960,9319703
564200972,9794771
564377454,9596454
564516544,9321964
564722864,9360623
565041000,9375226
565342728,9754812
565437962,9176993
565512024,9814143
565552016,9731078
565895584,9351608
565963000,9355410
565994392,9404156
565996000,9471434
566786000,9250218
566909296,9405588
566956000,9597537
569775728,9649067
573904608,9739549
626017000,9486805
636013217,9253947
636014300,9450703
636015131,9464247
636016970,9239886
636018495,9453731
636091975,9498901
637436168,9727675
666429256,9175793
755185837,9683001
763342288,9603659
2066224,9403009
5330760,9327798
5631272,9511870
25177512,9671876
107156900,9306639
209384000,9402287
212387000,9624756
229550000,9632832
229664000,9474644
235089333,8420804
241390000,9527295
244810418,9671436
257323000,9299276
257351000,9288825
308921000,9311866
310675000,9671589
311671944,9118381
352166000,9597422
352934792,9721401
354801000,9303649
357499000,9304382
370253000,9283631
370853000,9325300
371334000,9487433
